sNo,course_code,course_name,semester,student_count
Tst65,23CSE508,Fundamental of IoS Development in Swift,5,30
Tst75,23CSE509,Mobile Computing,5,30
Tst125,22CTMADE751,Mobile game app development platforms,7,27
Tst18,24CSE324,Introduction to Blockchain Technology,3,27
Tst20,24CSE323,Introduction To Cryptography,3,27
Tst46,23SEDE21,Communication Protocol,5,27
Tst68,23IOTDE21,IOT Platform Design,5,27
Tst84,22CTMADE741,Advanced Android Application Development,7,27
Tst10,23AIMLDE11,Elective -1 - IOT,3,26
Tst105,22CSBS211,Elective III:  Cryptology,7,24
Tst123,22CTMADE752,Introduction to Blockchain Technology,7,24
Tst92,22CTMADE742,Cloud Data Engineer,7,24
Tst40,23CSBSDE513,Business Strategy,5,21
Tst51,23AIDEDE12,Domain Sepcific AI,5,21
Tst118,22CTISDE741,Infrastructure Solution on Cloud,7,20
Tst119,22SEDE15,Infrastructure Solution on Cloud,7,20
Tst124,22CTISDE751,IT Governance  Risk and information security management,7,20
Tst89,22SEDE14,Containers and Dockers,7,20
Tst114,22IOTDE25,Fog Computing,7,19
Tst134,22IOTDE24,Smart Contracts,7,19
Tst59,23CSDE22,Data Analytics and Machine Learning for Cyber security  Elective-2,5,16
Tst110,22CSDE25,Elective-5 Speech recognition,7,14
Tst112,22CSDE24,Elective-4 Applications of AI,7,14
